Attach;Comp;Global;Health;Control;MetaCog;Others;Hopeless;OthViews;UttEnum
0;0;3;0;0;0;0;0;0;4263
3;3;0;0;0;0;0;0;0;5162
0;0;3;0;0;0;0;0;0;2719
0;0;0;0;1;0;0;0;2;698
3;0;0;0;0;0;0;0;0;704
0;0;3;0;0;0;0;0;0;3853
0;3;0;0;0;0;0;0;0;5582
3;0;0;0;0;0;0;0;2;782
0;3;0;0;0;0;0;1;0;64
0;0;0;0;0;0;0;0;0;5344
2;0;0;0;2;0;0;0;0;5405
0;3;0;0;0;0;0;0;0;1549
0;3;0;0;0;0;0;0;0;4529
2;0;0;0;0;0;0;0;0;4604
0;0;0;0;0;0;0;0;0;1367
3;0;2;0;0;0;0;0;0;5761
0;0;0;0;0;0;0;0;0;3137
0;0;0;3;1;0;0;0;0;5334
0;0;0;0;0;0;0;0;0;2744
0;1;0;0;3;0;0;0;0;3482
1;0;0;0;0;0;0;2;0;1647
0;0;3;0;0;0;0;0;2;158
0;3;0;0;0;0;0;0;0;4855
0;3;0;0;0;0;0;1;0;4645
0;3;0;0;0;0;0;2;0;1238
0;3;0;0;0;0;0;2;0;3515
0;0;0;0;1;0;0;0;0;5064
0;0;3;0;0;0;0;0;0;448
0;3;0;0;0;0;0;0;0;4856
3;0;0;0;1;0;0;1;0;4517
2;0;0;0;0;0;0;0;2;4153
0;0;0;3;0;0;0;0;0;1872
0;0;3;0;0;0;0;0;0;3844
0;0;3;0;0;0;0;0;0;419
0;0;3;3;0;0;0;0;0;4380
1;0;1;0;0;0;0;0;0;3633
3;0;0;0;0;0;0;0;0;1888
3;0;0;3;0;0;0;1;0;4649
0;0;3;0;0;0;0;2;0;354
3;0;0;0;0;0;0;0;0;3984
0;0;0;0;0;0;0;0;0;4526
0;1;0;0;1;0;0;2;0;437
0;0;0;0;2;0;0;0;3;2098
0;0;0;3;1;0;0;1;0;2623
0;0;0;0;2;0;0;0;0;5734
0;0;0;0;0;0;0;0;0;2132
0;0;3;0;0;0;0;0;0;1185
3;0;0;0;0;0;0;0;0;871
2;0;2;0;0;0;0;0;3;758
0;0;0;0;0;0;0;0;3;1255
0;0;0;0;0;0;0;0;0;1369
0;0;0;0;0;0;0;0;3;5316
0;0;0;0;3;0;0;0;0;1796
3;0;0;0;0;0;0;0;0;3533
0;0;0;0;0;0;0;0;2;3774
0;0;3;0;0;0;0;0;0;1591
0;0;0;0;0;0;0;0;0;1065
2;0;0;0;0;0;0;0;0;3985
0;0;0;0;0;0;0;0;1;5155
3;0;0;0;0;0;0;0;0;1820
0;1;0;0;0;0;0;0;2;5345
0;0;0;0;0;0;0;0;0;3484
2;0;0;0;0;3;0;0;0;4898
0;0;1;0;1;0;0;0;0;2437
3;0;0;0;0;0;0;0;2;5421
1;0;0;0;0;0;0;0;2;2916
